Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;PARIS GARE DE LYON;87686006;BOURG EN BRESSE;87743005;1;Tarif Avantage;17.0;117.0
TGV INOUI;LAVAL;87478404;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;CHALON SUR SAONE;87725002;1;Tarif Réglementé;117.26;117.26
TGV INOUI;TOURS;87571000;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17.0;117.0
TGV INOUI;LAVAL;87478404;PARIS AUSTERLITZ;87547000;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;PARIS AUSTERLITZ;87547000;CHATELLERAULT;87575142;1;Tarif Réglementé;117.26;117.26
TGV INOUI;LORIENT;87476002;TGV HAUTE PICARDIE;87313882;1;Tarif Avantage;21.5;117.0
TGV INOUI;LAVAL;87478404;PARIS MONTPARNASSE 1 ET 2;87391003;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;CHATELLERAULT;87575142;1;Tarif Réglementé;117.26;117.26
TGV INOUI;AIX EN PROVENCE TGV;87319012;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Normal;24.5;117.0
TGV INOUI;LAVAL;87478404;VERSAILLES CHANTIERS;87393009;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;RENNES;87471003;1;Tarif Avantage;17.0;118.0
TGV INOUI;COLMAR;87182014;CHAMBERY CHALLES LES EAUX;87741009;1;Tarif Normal;26.5;117.0
TGV INOUI;LE MANS;87396002;GUINGAMP;87473207;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;CARCASSONNE;87615286;TOUL;87141044;1;Tarif Avantage;21.5;118.0
TGV INOUI;TOURS;87571000;LILLE EUROPE;87223263;1;Tarif Avantage;33.0;117.0
TGV INOUI;LE MANS;87396002;LA BAULE ESCOUBLAC;87481754;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MACON VILLE;87725689;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Réglementé;118.27;118.27
TGV INOUI;LE POULIGUEN;87481762;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Avantage;35.0;117.0
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;PARIS AUSTERLITZ;87547000;FUTUROSCOPE;87324095;1;Tarif Réglementé;118.27;118.27
TGV INOUI;BESANCON VIOTTE;87718007;MANTES LA JOLIE;87381509;1;Tarif Réglementé;117.26;117.26
